212;1001
215;1001
307;1001
211;1002
212;1002
213;1002
214;1002
215;1002
101;2001
103;2001
105;2001
107;2001
109;2001
110;2001
201;2001
203;2001
205;2001
207;2001
209;2001
210;2001
301;2001
303;2001
305;2001
307;2001
309;2001
310;2001
102;2002
104;2002
106;2002
108;2002
109;2002
110;2002
202;2002
204;2002
206;2002
208;2002
209;2002
210;2002
302;2002
304;2002
306;2002
308;2002
309;2002
310;2002
#
101;3001
103;3001
105;3001
107;3001
109;3001
110;3001
201;3001
203;3001
205;3001
207;3001
209;3001
210;3001
301;3001
303;3001
305;3001
307;3001
309;3001
310;3001
102;3002
104;3002
106;3002
108;3002
109;3002
110;3002
202;3002
204;3002
206;3002
208;3002
209;3002
210;3002
302;3002
304;3002
306;3002
308;3002
309;3002
310;3002
#
101;3003
103;3003
107;3003
109;3003
110;3003
201;3003
207;3003
209;3003
210;3003
301;3003
307;3003
309;3003
310;3003
